TRL,Category,Subcategory,Feature
1,Usability,Understandability,High-level description of what/who the product is for is available.
1,Usability,Understandability,High-level description of what the product does is available.
1,Usability,Understandability,High-level description of how the product works is available.
1,Usability,Understandability,Design rationale is available – why the system does things the way it does.
1,Usability,Understandability,"Architectural overview, with diagrams, is available."
1,Usability,Understandability,Descriptions of intended use cases are available.
1,Usability,Documentation,Provides a high-level overview of the product.
1,Sustainability and Maintenance,Supportability,Web site has page describing how to get support.
1,Sustainability and Maintenance,Supportability,Project has a ticketing system.
1,Sustainability and Maintenance,Supportability,"Project resources are hosted externally to a single-organisation/institution in a sustainable third-party repository (e.g. SourceForge, GoogleCode, LaunchPad, GitHub) which will live beyond the lifetime of the current project."
1,Sustainability and Maintenance,Analysability,Source code or content repository is a revision control system.
1,Sustainability and Maintenance,Evolvability,Web site describes project roadmap or plans or milestones (either on a web page or within a ticketing system).
1,Sustainability and Maintenance,Evolvability,Web site describes how project is funded/sustained.
1,Sustainability and Maintenance,Interoperability,Uses open standards.
1,Sustainability and Maintenance,Accessibility,"Repository is hosted externally to a single organisation/institution in a sustainable third-party repository (e.g. SourceForge, GoogleCode, LaunchPad, GitHub) which will live beyond the lifetime of any current funding line."
1,Fitness,Accuracy,There is a specification of the algorithm against which results can be compared.
1,Fitness,Credibility,Presented information and data are consistent throughout the project.
1,Fitness,Credibility,All web interfaces use secure (https) protocol
1,Fitness,Credibility,"Expertise of the originators of the project/product is represented throughout the content as appropriate (e.g., in author pages, references, citations, and about or background pages)."
2,Usability,Friendliness,"Terminology used throughout the system or product is internally consistent, appropriate to the context, and suitable for targeted users, avoiding codes unless universally known."
2,Usability,Friendliness,"Generated data products are organized clearly, with embedded metadata wherever possible."
2,Usability,Documentation,Lists resources for further information.
2,Usability,Documentation,Is task-oriented or objective-oriented.
2,Usability,Documentation,Documentation is on the project web site.
2,Usability,Documentation,Documentation on the project web site makes it clear what version of the product the documentation applies to.
2,Usability,Learnability,A getting started guide is provided outlining a basic example of using the product.
2,Usability,Installability,"All other content distributed as an archive contains a README.TXT with project name, web site, nature, how /where to get help, version, and date."
2,Sustainability and maintenance,Governance,Project has defined a governance policy.
2,Sustainability and maintenance,Governance,Governance policy is publicly available.
2,Sustainability and maintenance,Accessibility,"Source distributions are available (whether for free, payment, registration)."
2,Sustainability and maintenance,Accessibility,Source distributions are freely available.
2,Sustainability and maintenance,Accessibility,"Access to source code repository is available (whether for free, payment, registration)."
2,Sustainability and maintenance,Portability,Browser applications/sites run under Mozilla Firefox.
2,Sustainability and maintenance,Portability,Browser applications/sites run under Google Chrome.
2,Sustainability and maintenance,Portability,Browser applications/sites run under Safari.
2,Sustainability and Maintenance,Supportability,User doc has page describing how to get support.
2,Sustainability and Maintenance,Supportability,Project has an e-mail address.
2,Fitness,Credibility,"Where registration is allowed, registration validation is consistent with required project security (e.g., simple captcha for insecure public-facing resources; email required for mildly resource-constrained software; manual identity verification for critical products)"
3,Usability,Friendliness,"User commands are quickly and intuitively reflected in system behavior and subsequent system presentation (e.g., previous filters remain visible)."
3,Usability,Understandability,Case studies of use are available.
3,Usability,Documentation,"Consists of clear, step-by-step instructions for use or adoption."
3,Usability,Documentation,"For software, a best-practice guideline is selected and code is validated against it."
3,Usability,Documentation,"API documentation is autogenerated (e.g., by JavaDoc or Doxygen), and documents APIs completely (e.g., configuration files, property names, etc.)."
3,Usability,Documentation,Documentation is held under version control alongside any code or other product components.
3,Usability,Learnability,"Reference guides or contextual specifications (may be simple labels, if clear) are provided for all command line, GUI and configuration options."
3,Usability,Learnability,API documentation is provided for userdevelopers and developers.
3,Usability,Buildability,"An automated build (e.g. Make, ANT, custom solution) is used to build any software."
3,Usability,Installability,Web site has instructions for installing or accessing the product.
3,Usability,Installability,"When an archive (e.g. TAR.GZ or ZIP) is unpacked, it creates a single directory with the files within. It does not spread its contents all over the current directory."
3,Usability,Installability,"When software is installed, or when a product or service has multiple facets, its contents are organised into sub-directories (e.g. docs for documentation, libs for dependent libraries) or IRL hierarchies (/about, /support, etc.) as appropriate."
3,Usability,Installability,"All source and binary distributions contain a README.TXT with project name, web site, how/where to get help, version, date, licence and copyright (or where to find this information), location of entry point into user doc."
3,Usability,Installability,"All GUIs contain a Help menu with commands to see the project name, web site, how/where to get help, version, date, licence and copyright (or where to find this information), location of entry point into user doc."
3,Sustainability and Maintenance,Accessibility,Anonymous read-only access to source code repository.
3,Sustainability and Maintenance,Accessibility,Ability to browse source code repository online.
3,Sustainability and Maintenance,Supportability,Software describes how to get support (in a README for command-line tools or a Help=>About window in a GUI).
3,Sustainability and Maintenance,Supportability,E-mails are archived.
3,Sustainability and Maintenance,Supportability,"E-mail archives or ticketing system shows that queries are responded to within a week (not necessarily fixed, but at least looked at and a decision taken as to their priority)."
3,Sustainability and Maintenance,Analysability,Source or content releases are snapshots of the repository.
3,Sustainability and Maintenance,Analysability,Source code is commented.
3,Sustainability and Maintenance,Analysability,Source code comments are written in an API document generation mark-up language e.g. JavaDoc or Doxygen.
3,Sustainability and Maintenance,Analysability,Source code is laid out and indented well.
3,Sustainability and Maintenance,Analysability,"Source code uses sensible class, package and variable names."
3,Sustainability and Maintenance,Analysability,Coding standards are recommended by the project.
